Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken,Name,Phase1_sub_taken,Phase1_sub_apply,Phase2A_sub_taken,Phase2A_sub_apply,Phase2B_sub_taken,Phase2B_sub_apply,Phase2C_sub_taken,Phase2C_sub_apply,After_Phase1_2A_vac,After_Phase2B_vac,After_Phase2C_vac,Phase2A_oversub,Phase2B_oversub,Phase2C_oversub,Phase2A_oversub_count,Phase2B_oversub_count,Phase2C_oversub_count
180,145,62,163,97,11,35,19,23,66,86,-,35,19,23,66,86,-,St. Stephen's School,19.444444444444446,19.444444444444446,13.10344827586207,13.10344827586207,37.096774193548384,37.096774193548384,40.49079754601227,40.49079754601227,126,39,97,No,No,No,No,No,No
180,99,49,146,100,52,81,13,0,46,48,-,81,13,0,46,48,-,Tampines North Primary School,45.0,45.0,13.131313131313133,13.131313131313133,0.0,0.0,31.506849315068493,31.506849315068493,86,49,100,No,No,No,No,No,No
180,89,28,86,5,0,92,66,2,81,19,-,92,66,2,81,5,-,Tampines Primary School,51.11111111111111,51.11111111111111,74.15730337078652,74.15730337078652,7.142857142857142,7.142857142857142,94.18604651162791,94.18604651162791,23,26,5,No,No,No,No,No,No
140,55,30,75,0,0,85,27,14,98,0,-,85,27,14,75,0,-,Tanjong Katong Primary School,60.71428571428571,60.71428571428571,49.09090909090909,49.09090909090909,46.666666666666664,46.666666666666664,100.0,130.66666666666666,28,16,0,No,No,Yes,No,No,23
300,136,23,47,0,0,164,127,61,99,0,-,164,127,23,47,0,-,Tao Nan School,54.666666666666664,54.666666666666664,93.38235294117648,93.38235294117648,100.0,265.2173913043478,100.0,210.63829787234042,9,0,0,No,Yes,Yes,No,38,52
150,77,41,118,26,0,73,13,6,92,26,-,73,13,6,92,26,-,Teck Ghee Primary School,48.66666666666667,48.66666666666667,16.883116883116884,16.883116883116884,14.634146341463413,14.634146341463413,77.96610169491525,77.96610169491525,64,35,26,No,No,No,No,No,No
180,123,57,172,145,102,58,12,0,27,43,-,58,12,0,27,43,-,Teck Whye Primary School,32.22222222222222,32.22222222222222,9.75609756097561,9.75609756097561,0.0,0.0,15.69767441860465,15.69767441860465,111,57,145,No,No,No,No,No,No
130,51,28,83,12,0,79,28,2,72,28,-,79,28,2,72,12,-,Telok Kurau Primary School,60.76923076923077,60.76923076923077,54.90196078431373,54.90196078431373,7.142857142857142,7.142857142857142,86.74698795180723,86.74698795180723,23,26,11,No,No,No,No,No,No
140,49,20,51,0,0,91,62,10,154,0,-,91,49,10,51,0,-,Temasek Primary School,65.0,65.0,100.0,126.53061224489797,50.0,50.0,100.0,301.96078431372547,0,10,0,Yes,No,Yes,13,No,103
120,78,43,126,105,84,42,9,3,21,21,-,42,9,3,21,21,-,Townsville Primary School,35.0,35.0,11.538461538461538,11.538461538461538,6.976744186046512,6.976744186046512,16.666666666666664,16.666666666666664,69,40,105,No,No,No,No,No,No
