Name,CCA,Indicator
St. Anthony's Primary School,Angklung/Kulintang Ensemble,
St. Gabriel's Primary School,Angklung/Kulintang Ensemble,
St. Hilda's Primary School,Angklung/Kulintang Ensemble,
St. Joseph's Institution Junior,Angklung/Kulintang Ensemble,
St. Margaret's Primary School,Angklung/Kulintang Ensemble,
St. Stephen's School,Angklung/Kulintang Ensemble,
Tampines North Primary School,Angklung/Kulintang Ensemble,1.0
Tampines Primary School,Angklung/Kulintang Ensemble,
Tanjong Katong Primary School,Angklung/Kulintang Ensemble,
Tao Nan School,Angklung/Kulintang Ensemble,
Teck Ghee Primary School,Angklung/Kulintang Ensemble,
Teck Whye Primary School,Angklung/Kulintang Ensemble,
Telok Kurau Primary School,Angklung/Kulintang Ensemble,
Temasek Primary School,Angklung/Kulintang Ensemble,
Townsville Primary School,Angklung/Kulintang Ensemble,1.0
Unity Primary School,Angklung/Kulintang Ensemble,1.0
Valour Primary School,Angklung/Kulintang Ensemble,
Waterway Primary School,Angklung/Kulintang Ensemble,
Wellington Primary School,Angklung/Kulintang Ensemble,
West Grove Primary School,Angklung/Kulintang Ensemble,
West Spring Primary School,Angklung/Kulintang Ensemble,
West View Primary School,Angklung/Kulintang Ensemble,
Westwood Primary School,Angklung/Kulintang Ensemble,
White Sands Primary School,Angklung/Kulintang Ensemble,
Woodgrove Primary School,Angklung/Kulintang Ensemble,
Woodlands Primary School,Angklung/Kulintang Ensemble,
Woodlands Ring Primary School,Angklung/Kulintang Ensemble,
Xinghua Primary School,Angklung/Kulintang Ensemble,1.0
Xingnan Primary School,Angklung/Kulintang Ensemble,
Xinmin Primary School,Angklung/Kulintang Ensemble,
Xishan Primary School,Angklung/Kulintang Ensemble,
Yangzheng Primary School,Angklung/Kulintang Ensemble,
Yew Tee Primary School,Angklung/Kulintang Ensemble,1.0
Yio Chu Kang Primary School,Angklung/Kulintang Ensemble,1.0
Yishun Primary School,Angklung/Kulintang Ensemble,
Yu Neng Primary School,Angklung/Kulintang Ensemble,
Yuhua Primary School,Angklung/Kulintang Ensemble,1.0
Yumin Primary School,Angklung/Kulintang Ensemble,
Zhangde Primary School,Angklung/Kulintang Ensemble,
Zhenghua Primary School,Angklung/Kulintang Ensemble,
Zhonghua Primary School,Angklung/Kulintang Ensemble,
Admiralty Primary School,Art and Crafts,1.0
Ahmad Ibrahim Primary School,Art and Crafts,1.0
Ai Tong School,Art and Crafts,1.0
Alexandra Primary School,Art and Crafts,1.0
Anchor Green Primary School,Art and Crafts,
Anderson Primary School,Art and Crafts,1.0
Ang Mo Kio Primary School,Art and Crafts,1.0
Anglo-Chinese School (Junior),Art and Crafts,1.0
Anglo-Chinese School (Primary),Art and Crafts,1.0
Angsana Primary School,Art and Crafts,1.0
Beacon Primary School,Art and Crafts,1.0
Bedok Green Primary School,Art and Crafts,1.0
Bendemeer Primary School,Art and Crafts,
Blangah Rise Primary School,Art and Crafts,1.0
Boon Lay Garden Primary School,Art and Crafts,1.0
Bukit Panjang Primary School,Art and Crafts,1.0
Bukit Timah Primary School,Art and Crafts,1.0
Bukit View Primary School,Art and Crafts,1.0
CHIJ (Katong) Primary,Art and Crafts,1.0
CHIJ (Kellock),Art and Crafts,1.0
CHIJ Our Lady Queen of Peace,Art and Crafts,1.0
CHIJ Our Lady of Good Counsel,Art and Crafts,1.0
CHIJ Our Lady of the Nativity,Art and Crafts,1.0
CHIJ Primary (Toa Payoh),Art and Crafts,1.0
CHIJ St. Nicholas Girls' School (Primary Section),Art and Crafts,1.0
Canberra Primary School,Art and Crafts,1.0
