School_Name,Phase1_vac,Phase2A_vac,Phase2B_vac,Phase2C_vac,Phase2CS_vac,Phase3_vac,Phase1_applied,Phase2A_applied,Phase2B_applied,Phase2C_applied,Phase2CS_applied,Phase3_applied,Phase1_taken,Phase2A_taken,Phase2B_taken,Phase2C_taken,Phase2CS_taken,Phase3_taken
Northoaks,160,131,62,186,172,159,29,5,0,14,13,-,29,5,0,14,13,-
Oasis,190,54,20,60,0,0,136,71,0,80,0,-,136,54,0,60,0,-
Opera Estate,130,56,36,107,43,0,74,8,1,70,43,-,74,8,1,70,43,-
Palm View,180,88,46,138,82,23,93,9,1,56,59,-,93,9,1,56,59,-
Park View,120,58,36,108,50,12,62,10,1,58,38,-,62,10,1,58,38,-
Pasir Ris,120,37,21,43,0,0,83,33,22,80,0,-,83,33,21,43,0,-
Paya Lebar Methodist Girls’,210,131,41,81,0,0,79,69,47,110,0,-,79,69,41,81,0,-
Pei Chun Public,240,106,20,45,0,0,134,129,27,83,0,-,134,106,20,45,0,-
Pei Hwa Presbyterian,164,44,20,41,0,0,121,112,37,87,0,-,121,44,20,41,0,-
Pei Tong,220,156,58,175,143,49,64,43,0,34,94,-,64,43,0,34,94,-
Peiying,130,64,36,107,62,0,66,17,0,45,82,-,66,17,0,45,62,-
Poi Ching,180,98,43,104,0,0,83,29,27,197,0,-,83,29,27,104,0,-
Princess Elizabeth,140,42,20,55,0,0,98,60,5,278,0,-,98,42,5,55,0,-
Punggol Cove,190,91,31,93,12,0,99,58,1,82,21,-,99,58,1,82,12,-
Punggol Green,190,68,20,56,0,0,122,99,4,127,0,-,122,68,4,56,0,-
Punggol,130,46,28,78,0,0,84,22,6,129,0,-,84,22,6,78,0,-
Punggol View,190,65,20,61,0,0,125,82,0,74,0,-,125,65,0,61,0,-
Qifa,220,116,44,111,0,0,104,43,22,131,0,-,104,43,22,111,0,-
Qihua,180,121,54,158,102,88,59,19,5,56,14,-,59,19,5,56,14,-
Queenstown,150,74,40,121,6,0,76,16,0,115,24,-,76,16,0,115,6,-
Radin Mas,140,55,20,40,0,0,85,62,20,82,0,-,85,55,20,40,0,-
Raffles Girls’,210,121,43,90,0,0,89,52,39,125,0,-,89,52,39,90,0,-
Red Swastika,180,64,20,42,0,0,116,94,26,81,0,-,116,64,20,42,0,-
River Valley,150,65,26,59,0,0,85,49,20,91,0,-,85,49,20,59,0,-
Riverside,150,47,20,58,0,0,103,72,2,83,0,-,103,47,2,58,0,-
Rivervale,150,47,31,81,0,0,103,14,12,126,0,-,103,14,12,81,0,-
Rosyth,210,73,20,41,0,0,137,113,24,125,0,-,137,73,20,41,0,-
Rulang,210,90,20,40,0,0,120,107,34,95,0,-,120,90,20,40,0,-
Sembawang,140,53,35,104,0,0,87,8,1,122,0,-,87,8,1,104,0,-
Seng Kang,150,90,49,148,129,61,60,4,0,19,68,-,60,4,0,19,68,-
Sengkang Green,220,110,23,49,0,0,111,100,21,120,0,-,111,100,21,49,0,-
Shuqun,140,72,30,79,0,0,68,42,11,106,0,-,68,42,11,79,0,-
Si Ling,90,45,32,97,80,68,45,8,0,17,12,-,45,8,0,17,12,-
Singapore Chinese Girls’,132,77,20,40,0,0,55,79,34,73,0,-,55,77,20,40,0,-
South View,210,78,20,40,0,0,132,95,30,177,0,-,132,78,20,40,0,-
Springdale,220,99,29,87,6,0,121,74,0,81,22,-,121,74,0,81,6,-
St. Andrew’s Junior,180,118,37,82,0,0,62,66,31,124,0,-,62,66,31,82,0,-
St. Anthony’s Canossian,180,149,67,194,153,102,31,9,6,41,51,-,31,9,6,41,51,-
St. Anthony’s,160,73,32,65,0,0,87,38,39,105,0,-,87,38,32,65,0,-
St. Gabriel’s,90,61,34,77,0,0,29,20,24,77,0,-,29,20,24,77,0,-
St. Hilda’s,210,69,20,41,0,0,141,94,40,144,0,-,141,69,20,41,0,-
St. Joseph’s Institution Junior,180,107,38,78,0,0,73,56,84,106,0,-,73,56,38,78,0,-
St. Margaret’s,132,86,40,101,0,0,46,26,19,122,0,-,46,26,19,101,0,-
St. Stephen’s,180,145,62,163,97,11,35,19,23,66,86,-,35,19,23,66,86,-
Tampines North,180,99,49,146,100,52,81,13,0,46,48,-,81,13,0,46,48,-
Tampines,180,89,28,86,5,0,92,66,2,81,19,-,92,66,2,81,5,-
Tanjong Katong,140,55,30,75,0,0,85,27,14,98,0,-,85,27,14,75,0,-
Tao Nan,300,136,23,47,0,0,164,127,61,99,0,-,164,127,23,47,0,-
Teck Ghee,150,77,41,118,26,0,73,13,6,92,26,-,73,13,6,92,26,-
Teck Whye,180,123,57,172,145,102,58,12,0,27,43,-,58,12,0,27,43,-
Telok Kurau,130,51,28,83,12,0,79,28,2,72,28,-,79,28,2,72,12,-
Temasek,140,49,20,51,0,0,91,62,10,154,0,-,91,49,10,51,0,-
Townsville,120,78,43,126,105,84,42,9,3,21,21,-,42,9,3,21,21,-
Unity,150,74,41,124,72,63,76,10,0,52,9,-,76,10,0,52,9,-
Waterway,220,100,28,83,0,0,120,77,1,107,0,-,120,77,1,83,0,-
Wellington,180,79,20,58,0,0,101,81,4,105,0,-,101,79,4,58,0,-
West Grove,180,110,52,147,48,0,70,15,8,99,58,-,70,15,8,99,48,-
